City,Year,Average_Years_Education
New York City,2014,7.08
New York City,2015,6.99
New York City,2016,6.89
New York City,2017,6.85
New York City,2018,6.78
New York City,2019,6.72
New York City,2020,6.53
New York City,2021,6.46
New York City,2022,6.36
New York City,2023,6.21
Los Angeles,2014,6.6
Los Angeles,2015,6.57
Los Angeles,2016,6.5
Los Angeles,2017,6.41
Los Angeles,2018,6.31
Los Angeles,2019,6.21
Los Angeles,2020,6.0
Los Angeles,2021,5.95
Los Angeles,2022,5.88
Los Angeles,2023,5.74
Seattle,2014,2.97
Seattle,2015,2.88
Seattle,2016,2.73
Seattle,2017,2.6
Seattle,2018,2.49
Seattle,2019,2.41
Seattle,2020,2.35
Seattle,2021,2.34
Seattle,2022,2.31
Seattle,2023,2.28
