Year,Population,City
2014,8491079,New York City
2015,8550405,New York City
2016,8537673,New York City
2017,8622698,New York City
2018,8398748,New York City
2019,8336817,New York City
2021,8467513,New York City
2022,8335897,New York City
2023,8258035,New York City
2014,3928827,Los Angeles
2015,3971883,Los Angeles
2016,3976322,Los Angeles
2017,3999759,Los Angeles
2018,3990456,Los Angeles
2019,3979576,Los Angeles
2021,3849306,Los Angeles
2022,3822224,Los Angeles
2023,3820963,Los Angeles
2014,668337,Seattle
2015,684451,Seattle
2016,704352,Seattle
2017,724745,Seattle
2018,744955,Seattle
2019,753675,Seattle
2021,733904,Seattle
2022,749267,Seattle
2023,755081,Seattle
